"#","RefDes","Footprint","Vendor","Vendor Part","Value","Quantity"
"1","C1","0805","Murata","GRM219R71C104KA01D","0.1uF","1"
"2","C2","0805","Murata","GRM219R71C104KA01D","0.1uF","1"
"3","C3","1206","AVX","NOJA475M006RWJ","4.7uF","1"
"4","C4","0805","Murata","GRM219R71C104KA01D","0.1uF","1"
"5","C5","0805","Murata","GRM219R71C104KA01D","0.1uF","1"
"6","C6","0805","Murata","GRM219R71C104KA01D","0.1uF","1"
"7","C7","0805","Murata","GRM219R71C104KA01D","0.1uF","1"
"8","FB1","1206","Murata","BLM31PG391SN1L","390@100MHz","1"
"9","FB2","1206","Murata","BLM31PG391SN1L","390@100MHz","1"
"10","FB3","1206","Murata","BLM31PG391SN1L","390@100MHz","1"
"11","J1","","","","","1"
"12","J2","","","","","1"
"13","J3","","","","","1"
"14","R1","0805","Resistor","Resistor","16K","1"
"15","R2","0805","Resistor","Resistor","DNI","1"
"16","R3","0805","Resistor","Resistor","DNI","1"
"17","R4","0805","Resistor","Resistor","DNI","1"
"18","T1","","Minicircuits","TCM4-6T+","4:1","1"
"19","U1","","Analog Devices","AD9707BCPZ","","1"
"20","U2","","Linear Tech","LM1086CM-3.3#PBF","","1"
"","","","","","","20"
